,No.,State orunion territory,Administrative capital/ Executive capital,Legislative capital,Judicial capital,Year of establishment,Former capital,link
0,A,Andaman and Nicobar Islands,Port Blair,—,Kolkata,1956,—,https://en.wikipedia.org/wiki/Andaman_and_Nicobar_Islands
1,1,Andhra Pradesh,Visakhapatnam,Amaravathi[a],Karnool,1956,Hyderabad[b](1956–2017),https://en.wikipedia.org/wiki/Andhra_Pradesh
2,2,Arunachal Pradesh,Itanagar,Itanagar,Guwahati,1987,—,https://en.wikipedia.org/wiki/Arunachal_Pradesh
3,3,Assam,Dispur,Dispur,Guwahati,1972,Shillong[c] (1950–1972),https://en.wikipedia.org/wiki/Assam
4,4,Bihar,Patna,Patna,Patna,1950,—,https://en.wikipedia.org/wiki/Bihar
5,B,Chandigarh,Chandigarh[d],—,Chandigarh,1966,—,https://en.wikipedia.org/wiki/Chandigarh
6,5,Chhattisgarh,Raipur[e],Raipur,Bilaspur,2000,—,https://en.wikipedia.org/wiki/Chhattisgarh
7,C,Dadra and Nagar Haveli and Daman and Diu,Daman,—,Mumbai,2020,—,https://en.wikipedia.org/wiki/Dadra_and_Nagar_Haveli_and_Daman_and_Diu
8,G,Delhi,New Delhi,New Delhi,New Delhi,1956,—,https://en.wikipedia.org/wiki/Delhi
9,6,Goa,Panaji[f],Porvorim,Mumbai,1987,—,https://en.wikipedia.org/wiki/Goa
10,7,Gujarat,Gandhinagar,Gandhinagar,Ahmedabad,1960,Ahmedabad (1960–1970),https://en.wikipedia.org/wiki/Gujarat
11,8,Haryana,Chandigarh,Chandigarh,Chandigarh,1966,—,https://en.wikipedia.org/wiki/Haryana
12,9,Himachal Pradesh,Shimla,Shimla;(Summer)Dharamsala (Winter)[6],Shimla,19712017,—,https://en.wikipedia.org/wiki/Himachal_Pradesh
13,D,Jammu and Kashmir,Srinagar (Summer)[7]Jammu (Winter),Srinagar (Summer)Jammu (Winter),Srinagar (Summer)Jammu (Winter),2019,—,https://en.wikipedia.org/wiki/Jammu_and_Kashmir
14,10,Jharkhand,Ranchi,Ranchi,Ranchi,2000,—,https://en.wikipedia.org/wiki/Jharkhand
15,11,Karnataka,Bengaluru,Bengaluru,Bengaluru,1956,—,https://en.wikipedia.org/wiki/Karnataka
16,12,Kerala,Thiruvananthapuram,Thiruvananthapuram,Kochi,1956,—,https://en.wikipedia.org/wiki/Kerala
17,E,Ladakh,Leh (Summer)Kargil (Winter)[8],—,Srinagar (Summer)Jammu (Winter),2019,—,https://en.wikipedia.org/wiki/Ladakh
18,F,Lakshadweep,Kavaratti,—,Kochi,1956,—,https://en.wikipedia.org/wiki/Lakshadweep
19,13,Madhya Pradesh,Bhopal,Bhopal,Jabalpur,1956,—,https://en.wikipedia.org/wiki/Madhya_Pradesh
20,14,Maharashtra,Mumbai[g],Mumbai (Summer) Nagpur (Winter),Mumbai,1960,—,https://en.wikipedia.org/wiki/Maharashtra
21,15,Manipur,Imphal,Imphal,Imphal,1972,—,https://en.wikipedia.org/wiki/Manipur
22,16,Meghalaya,Shillong,Shillong,Shillong,1972,—,https://en.wikipedia.org/wiki/Meghalaya
23,17,Mizoram,Aizawl,Aizawl,Guwahati,1987,—,https://en.wikipedia.org/wiki/Mizoram
24,18,Nagaland,Kohima,Kohima,Guwahati,1963,—,https://en.wikipedia.org/wiki/Nagaland
25,19,Odisha,Bhubaneswar,Bhubaneswar,Cuttack,1950,Cuttack,https://en.wikipedia.org/wiki/Odisha
26,H,Puducherry,Pondicherry,Pondicherry,Chennai,1954,—,https://en.wikipedia.org/wiki/Puducherry
27,20,Punjab,Chandigarh,Chandigarh,Chandigarh,1966,—,https://en.wikipedia.org/wiki/Punjab
28,21,Rajasthan,Jaipur,Jaipur,Jodhpur,1950,—,https://en.wikipedia.org/wiki/Rajasthan
29,22,Sikkim,Gangtok[h],Gangtok,Gangtok,1975,—,https://en.wikipedia.org/wiki/Sikkim
30,23,Tamil Nadu,Chennai[i],Chennai,Chennai,1956,—,https://en.wikipedia.org/wiki/Tamil_Nadu
31,24,Telangana,Hyderabad,Hyderabad,Hyderabad,2014,—,https://en.wikipedia.org/wiki/Telangana
32,25,Tripura,Agartala,Agartala,Agartala,1972,—,https://en.wikipedia.org/wiki/Tripura
33,26,Uttar Pradesh,Lucknow,Lucknow,Prayagraj,1950,—,https://en.wikipedia.org/wiki/Uttar_Pradesh
34,27,Uttarakhand,Dehradun,Gairsain (Summer)[10]Dehradun (Winter),Nainital,20002020,—,https://en.wikipedia.org/wiki/Uttarakhand
35,28,West Bengal,Kolkata,Kolkata,Kolkata,1950,,https://en.wikipedia.org/wiki/West_Bengal
